,time,value
0,1449224618191.0,1.628
1,1449224618212.0,1.608
2,1449224618233.0,1.647
3,1449224618253.0,1.701
4,1449224618273.0,1.681
5,1449224618293.0,1.701
6,1449224618313.0,1.818
7,1449224618333.0,1.838
8,1449224618353.0,1.818
9,1449224618373.0,1.681
10,1449224618395.0,1.608
11,1449224618415.0,1.701
12,1449224618435.0,1.701
13,1449224618455.0,1.701
14,1449224618475.0,3.724
15,1449224618496.0,0.997
16,1449224618515.0,1.329
17,1449224618535.0,1.486
18,1449224618555.0,1.72
19,1449224618575.0,1.838
20,1449224618596.0,1.838
21,1449224618615.0,1.94
22,1449224618635.0,2.019
23,1449224618655.0,2.058
24,1449224618675.0,2.077
25,1449224618695.0,2.136
26,1449224618715.0,2.136
27,1449224618735.0,1.979
28,1449224618756.0,1.901
29,1449224618775.0,1.94
30,1449224618795.0,1.979
31,1449224618815.0,2.019
32,1449224618835.0,2.077
33,1449224618856.0,2.058
34,1449224618876.0,1.96
35,1449224618896.0,1.921
36,1449224618915.0,1.921
37,1449224618935.0,1.901
38,1449224618955.0,1.882
39,1449224618976.0,1.857
40,1449224618995.0,1.838
41,1449224619016.0,1.857
42,1449224619035.0,1.979
43,1449224619055.0,2.019
44,1449224619075.0,1.999
45,1449224619095.0,1.921
46,1449224619115.0,1.799
47,1449224619135.0,1.838
48,1449224619156.0,1.838
49,1449224619175.0,1.779
50,1449224619196.0,1.799
51,1449224619216.0,3.49
52,1449224619236.0,1.212
53,1449224619256.0,1.466
54,1449224619278.0,1.505
55,1449224619295.0,1.681
56,1449224619315.0,1.857
57,1449224619335.0,1.901
58,1449224619356.0,1.94
59,1449224619376.0,1.901
60,1449224619396.0,1.96
61,1449224619416.0,2.038
62,1449224619436.0,2.077
63,1449224619456.0,1.96
64,1449224619476.0,1.667
65,1449224619496.0,1.544
66,1449224619516.0,1.525
67,1449224619536.0,1.525
68,1449224619556.0,1.569
69,1449224619576.0,1.569
70,1449224619596.0,1.544
71,1449224619616.0,1.608
72,1449224619636.0,1.647
73,1449224619656.0,1.628
74,1449224619676.0,1.608
75,1449224619696.0,1.588
76,1449224619716.0,1.647
